run_id,timestamp,project_id,candidate_module,model_name,notes,spec_name,primary_metric,primary_metric_direction,cv_strategy_name,cv_n_splits,cv_random_state,interpretability_score,interpretability_rubric_version,interpretability_judgment_path,interpretability_audit_status,interpretability_audit_path,status,submission_path,report_path,fold_metrics_path,run_metadata_path,candidate_snapshot_path,loop_run_id,condition,iteration_index,budget,agent_model,baseline_commit,baseline_candidate_sha256,candidate_path,agent_input_manifest_path,error_traceback_path,error,cv_description,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,diagnostics_path
20260615T032153Z,2026-06-15T03:21:53.449134+00:00,synthetic_regression,projects.synthetic_regression.experiments.candidate_model,baseline_ridge,Ridge regression baseline with standardized features; useful as a linear reference point for later residual-driven model search.,default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/submissions/20260615T032153Z.csv,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/runs/20260615T032153Z/report.md,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/runs/20260615T032153Z/fold_metrics.json,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/runs/20260615T032153Z/run_metadata.json,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/runs/20260615T032153Z/candidate_snapshot.py,,,,,,,,,,,,5-fold shuffled KFold over all labeled rows.,1.8116843840040504,0.179297688797781,1.3458242756587964,0.1186428789909871,0.7296408643143408,0.0390827403385172,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/runs/20260615T032153Z/residual_diagnostics.json
synthetic_regression_blind_iter1_20260620T085522Z,2026-06-20T08:55:22.295784+00:00,synthetic_regression,_toy_imodels_loop_candidate_6b0c918fbe0c5564,_toy_imodels_loop_candidate_6b0c918fbe0c5564,,,,,,,,,,,,,contract_error,,,,,,synthetic_regression_blind,blind,1.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/agent_input_bundle/iteration_1/input_manifest.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter1_20260620T085522Z/error_traceback.txt,CandidateModel must inherit from toy_imodels.core.candidate.BaseCandidateModel,,,,,,,,
synthetic_regression_blind_iter1_20260620T085539Z,2026-06-20T08:55:39.810117+00:00,synthetic_regression,_toy_imodels_loop_candidate_6b0c918fbe0c5564,blind_poly2_ridgecv,"Blind iteration 1: generic second-order polynomial feature lift with median imputation, standardization, and RidgeCV shrinkage.",default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,projects/synthetic_regression/results/submissions/synthetic_regression_blind_iter1_20260620T085539Z.csv,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter1_20260620T085539Z/report.md,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter1_20260620T085539Z/fold_metrics.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter1_20260620T085539Z/run_metadata.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter1_20260620T085539Z/candidate_snapshot.py,synthetic_regression_blind,blind,1.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/agent_input_bundle/iteration_1/input_manifest.json,,,5-fold shuffled KFold over all labeled rows.,1.0401365516834478,0.0614624159067328,0.8227900050551131,0.0418900831573775,0.9101166891099044,0.0137295169269199,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter1_20260620T085539Z/residual_diagnostics.json
synthetic_regression_blind_iter2_20260620T085714Z,2026-06-20T08:57:14.593116+00:00,synthetic_regression,_toy_imodels_loop_candidate_6b0c918fbe0c5564,blind_poly3_ridgecv,Blind iteration 2: extend the successful generic polynomial basis to degree 3 and let RidgeCV choose stronger shrinkage if needed.,default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,projects/synthetic_regression/results/submissions/synthetic_regression_blind_iter2_20260620T085714Z.csv,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter2_20260620T085714Z/report.md,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter2_20260620T085714Z/fold_metrics.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter2_20260620T085714Z/run_metadata.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter2_20260620T085714Z/candidate_snapshot.py,synthetic_regression_blind,blind,2.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/agent_input_bundle/iteration_2/input_manifest.json,,,5-fold shuffled KFold over all labeled rows.,1.6285194233669926,0.0934955110178326,1.2583140513617184,0.0284019823072236,0.7806100888484868,0.0260391968196267,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter2_20260620T085714Z/residual_diagnostics.json
synthetic_regression_blind_iter3_20260620T085821Z,2026-06-20T08:58:21.680661+00:00,synthetic_regression,_toy_imodels_loop_candidate_6b0c918fbe0c5564,blind_hist_gradient_boosting,Blind iteration 3: replace explicit high-order polynomial expansion with regularized histogram gradient boosting for generic nonlinear thresholds and interactions.,default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,projects/synthetic_regression/results/submissions/synthetic_regression_blind_iter3_20260620T085821Z.csv,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter3_20260620T085821Z/report.md,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter3_20260620T085821Z/fold_metrics.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter3_20260620T085821Z/run_metadata.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter3_20260620T085821Z/candidate_snapshot.py,synthetic_regression_blind,blind,3.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/agent_input_bundle/iteration_3/input_manifest.json,,,5-fold shuffled KFold over all labeled rows.,1.338933474619829,0.1316081609089973,0.9871840854180178,0.0616895987693893,0.8530678258294454,0.0145020778365345,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter3_20260620T085821Z/residual_diagnostics.json
synthetic_regression_blind_iter4_20260620T085933Z,2026-06-20T08:59:33.568128+00:00,synthetic_regression,_toy_imodels_loop_candidate_6b0c918fbe0c5564,blind_poly2_elasticnetcv,"Blind iteration 4: keep the strong degree-2 polynomial basis but use ElasticNetCV to prune or shrink weak original, squared, and pairwise terms.",default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,projects/synthetic_regression/results/submissions/synthetic_regression_blind_iter4_20260620T085933Z.csv,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter4_20260620T085933Z/report.md,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter4_20260620T085933Z/fold_metrics.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter4_20260620T085933Z/run_metadata.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter4_20260620T085933Z/candidate_snapshot.py,synthetic_regression_blind,blind,4.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/agent_input_bundle/iteration_4/input_manifest.json,,,5-fold shuffled KFold over all labeled rows.,0.9525695919472372,0.0566478502965418,0.7480709255890726,0.0443310668051474,0.9247668427366484,0.0105163484953756,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter4_20260620T085933Z/residual_diagnostics.json
synthetic_regression_blind_iter5_20260620T090107Z,2026-06-20T09:01:07.358066+00:00,synthetic_regression,_toy_imodels_loop_candidate_6b0c918fbe0c5564,blind_poly2_stacked_shrinkage,Blind iteration 5: stack dense RidgeCV and sparse ElasticNetCV on the same degree-2 polynomial basis to blend complementary shrinkage.,default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,projects/synthetic_regression/results/submissions/synthetic_regression_blind_iter5_20260620T090107Z.csv,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter5_20260620T090107Z/report.md,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter5_20260620T090107Z/fold_metrics.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter5_20260620T090107Z/run_metadata.json,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter5_20260620T090107Z/candidate_snapshot.py,synthetic_regression_blind,blind,5.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_blind/agent_input_bundle/iteration_5/input_manifest.json,,,5-fold shuffled KFold over all labeled rows.,0.9488791094313402,0.0671386972824333,0.7446223110149803,0.051151473370764,0.9252592213446122,0.0117787937853967,projects/synthetic_regression/results/runs/synthetic_regression_blind_iter5_20260620T090107Z/residual_diagnostics.json
synthetic_regression_representation_iter1_20260620T091538Z,2026-06-20T09:15:38.526380+00:00,synthetic_regression,_toy_imodels_loop_candidate_ae69f52d45905901,quadratic_ridge,Ridge regression on original features plus explicit squared and pairwise interaction terms; tests whether a compact nonlinear basis improves the representation frontier over the linear baseline.,default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,projects/synthetic_regression/results/submissions/synthetic_regression_representation_iter1_20260620T091538Z.csv,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter1_20260620T091538Z/report.md,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter1_20260620T091538Z/fold_metrics.json,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter1_20260620T091538Z/run_metadata.json,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter1_20260620T091538Z/candidate_snapshot.py,synthetic_regression_representation,representation,1.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_representation/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_representation/agent_input_bundle/iteration_1/input_manifest.json,,,5-fold shuffled KFold over all labeled rows.,1.0347029527195322,0.061088559370289,0.8190389767915223,0.0407535817006638,0.911022610824152,0.0137328828175144,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter1_20260620T091538Z/residual_diagnostics.json
synthetic_regression_representation_iter2_20260620T091949Z,2026-06-20T09:19:49.163221+00:00,synthetic_regression,_toy_imodels_loop_candidate_ae69f52d45905901,cubic_ridge,Ridge regression on original features plus explicit quadratic and cubic polynomial terms; tests whether a richer but still inspectable nonlinear basis improves the representation frontier.,default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,projects/synthetic_regression/results/submissions/synthetic_regression_representation_iter2_20260620T091949Z.csv,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter2_20260620T091949Z/report.md,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter2_20260620T091949Z/fold_metrics.json,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter2_20260620T091949Z/run_metadata.json,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter2_20260620T091949Z/candidate_snapshot.py,synthetic_regression_representation,representation,2.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_representation/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_representation/agent_input_bundle/iteration_2/input_manifest.json,,,5-fold shuffled KFold over all labeled rows.,1.688898863280491,0.0772352114328165,1.2696580534408042,0.0361299384139608,0.7629669092488124,0.0340982410123075,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter2_20260620T091949Z/residual_diagnostics.json
synthetic_regression_representation_iter3_20260620T092157Z,2026-06-20T09:21:57.915214+00:00,synthetic_regression,_toy_imodels_loop_candidate_ae69f52d45905901,quadratic_shrunk_ridge,Ridge regression on original features plus explicit quadratic and pairwise interaction terms with strong shrinkage; tests whether removing noisy cubic terms restores a compact nonlinear representation.,default,cv_rmse_mean,minimize,kfold_5_shuffle_seed42,5.0,42.0,,,,,,success,projects/synthetic_regression/results/submissions/synthetic_regression_representation_iter3_20260620T092157Z.csv,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter3_20260620T092157Z/report.md,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter3_20260620T092157Z/fold_metrics.json,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter3_20260620T092157Z/run_metadata.json,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter3_20260620T092157Z/candidate_snapshot.py,synthetic_regression_representation,representation,3.0,5.0,codex,1b33c64a5eb71ce1b9704b9b00524e018e7cc6ab,0ec48409ff694e26e37ea211aab5f71875cc372b330c271dd5d9cca6254f70f0,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_representation/workspace/candidate_model.py,/home/res1235/workspace/agentic-imodels-harness/projects/synthetic_regression/results/loop_runs/synthetic_regression_representation/agent_input_bundle/iteration_3/input_manifest.json,,,5-fold shuffled KFold over all labeled rows.,1.048599251924062,0.0497795049259205,0.8286052809854635,0.0292990539504434,0.9089557434099116,0.0109114728816097,projects/synthetic_regression/results/runs/synthetic_regression_representation_iter3_20260620T092157Z/residual_diagnostics.json
